date,value
2024-05-28 21:04:33,69
2024-05-28 21:04:37,69
2024-05-28 21:04:39,69
2024-05-28 21:04:44,71
2024-05-28 21:04:53,83
2024-05-28 21:04:58,88
2024-05-28 21:05:03,88
2024-05-28 21:05:04,89
2024-05-28 21:05:13,97
2024-05-28 21:05:15,97
2024-05-28 21:05:23,97
2024-05-28 21:05:28,98
2024-05-28 21:05:29,98
2024-05-28 21:05:35,98
2024-05-28 21:05:42,99
2024-05-28 21:05:47,99
2024-05-28 21:05:49,99
2024-05-28 21:05:58,92
2024-05-28 21:06:00,93
2024-05-28 21:06:05,93
2024-05-28 21:06:12,95
2024-05-28 21:06:16,95
2024-05-28 21:06:19,96
2024-05-28 21:06:28,93
2024-05-28 21:06:30,93
2024-05-28 21:06:34,95
2024-05-28 21:06:40,99
2024-05-28 21:06:44,98
2024-05-28 21:06:53,89
2024-05-28 21:06:58,91
2024-05-28 21:07:00,91
2024-05-28 21:07:08,88
2024-05-28 21:07:09,88
2024-05-28 21:07:15,88
2024-05-28 21:07:19,89
2024-05-28 21:07:24,88
2024-05-28 21:07:33,89
2024-05-28 21:07:34,89
2024-05-28 21:07:39,86
2024-05-28 21:07:48,79
2024-05-28 21:07:50,80
2024-05-28 21:07:57,81
2024-05-28 21:08:00,82
2024-05-28 21:08:08,81
2024-05-28 21:08:12,84
2024-05-28 21:08:14,84
2024-05-28 21:08:23,82
2024-05-28 21:08:27,85
2024-05-28 21:08:31,86
2024-05-28 21:08:37,82
2024-05-28 21:08:43,79
2024-05-28 21:08:44,79
2024-05-28 21:08:53,86
2024-05-28 21:08:58,87
2024-05-28 21:08:59,88
2024-05-28 21:09:08,92
2024-05-28 21:09:13,94
2024-05-28 21:09:17,95
2024-05-28 21:09:20,97
2024-05-28 21:09:28,103
2024-05-28 21:09:33,103
2024-05-28 21:09:38,102
2024-05-28 21:09:43,105
2024-05-28 21:09:44,106
2024-05-28 21:09:49,101
2024-05-28 21:09:57,87
2024-05-28 21:10:01,82
2024-05-28 21:10:08,76
2024-05-28 21:10:11,75
2024-05-28 21:10:17,72
2024-05-28 21:10:22,71
2024-05-28 21:10:25,71
2024-05-28 21:10:30,69
2024-05-28 21:10:38,66
2024-05-28 21:10:40,65
2024-05-28 21:10:45,65
2024-05-28 21:10:49,65
2024-05-28 21:10:58,62
2024-05-28 21:11:02,61
2024-05-28 21:11:05,60
2024-05-28 21:11:11,61
2024-05-28 21:11:14,61
2024-05-28 21:11:23,61
2024-05-28 21:11:28,61
2024-05-28 21:11:29,61
2024-05-28 21:11:36,61
2024-05-28 21:11:39,62
2024-05-28 21:11:48,63
2024-05-28 21:11:52,63
2024-05-28 21:11:54,63
2024-05-28 21:12:03,67
2024-05-28 21:12:08,67
2024-05-28 21:12:10,66
2024-05-28 21:12:16,66
2024-05-28 21:12:23,68
2024-05-28 21:12:25,67
2024-05-28 21:12:29,67
2024-05-28 21:12:34,66
2024-05-28 21:12:43,64
2024-05-28 21:12:44,64
2024-05-28 21:12:53,61
2024-05-28 21:12:58,61
2024-05-28 21:13:00,61
2024-05-28 21:13:07,61
2024-05-28 21:13:13,60
2024-05-28 21:13:18,61
2024-05-28 21:13:19,61
2024-05-28 21:13:28,65
2024-05-28 21:13:29,65
2024-05-28 21:13:38,68
2024-05-28 21:13:40,68
2024-05-28 21:13:44,66
2024-05-28 21:13:53,64
2024-05-28 21:13:58,64
2024-05-28 21:13:59,64
2024-05-28 21:14:08,63
2024-05-28 21:14:13,64
2024-05-28 21:14:18,64
2024-05-28 21:14:23,64
2024-05-28 21:14:25,64
2024-05-28 21:14:33,61
2024-05-28 21:14:36,61
2024-05-28 21:14:39,63
2024-05-28 21:14:46,63
2024-05-28 21:14:49,63
2024-05-28 21:14:58,64
2024-05-28 21:15:01,63
2024-05-28 21:15:07,62
2024-05-28 21:15:13,61
2024-05-28 21:15:16,61
2024-05-28 21:15:19,61
2024-05-28 21:15:28,58
2024-05-28 21:15:30,59
2024-05-28 21:15:38,64
2024-05-28 21:15:41,64
2024-05-28 21:15:48,60
2024-05-28 21:15:52,60
2024-05-28 21:15:58,61
2024-05-28 21:16:03,59
2024-05-28 21:16:05,59
2024-05-28 21:16:13,64
2024-05-28 21:16:15,65
2024-05-28 21:16:23,67
2024-05-28 21:16:27,67
2024-05-28 21:16:33,66
2024-05-28 21:16:37,66
2024-05-28 21:16:41,66
2024-05-28 21:16:47,66
2024-05-28 21:16:53,67
2024-05-28 21:17:30,60
2024-05-29 08:13:23,59
2024-05-29 08:16:39,60
2024-05-29 08:22:51,64
2024-05-29 08:26:04,63
2024-05-29 08:32:42,63.4648
2024-05-29 08:29:07,63
2024-05-29 08:34:42,59
2024-05-29 08:45:16,68
2024-05-29 08:48:52,77
2024-05-29 08:39:09,58
2024-05-29 08:57:02,64
2024-05-29 09:01:08,66
2024-05-29 09:03:36,62
2024-05-29 09:09:53,67
2024-05-29 09:13:55,63
2024-05-29 09:22:44,60
2024-05-29 09:23:10,59
2024-05-29 09:28:26,59
2024-05-29 09:31:54,63
2024-05-29 09:43:48,86
2024-05-29 09:37:17,59
2024-05-29 09:49:40,90
2024-05-29 09:45:24,64
2024-05-29 09:53:55,85
2024-05-29 09:50:49,69
2024-05-29 09:56:00,64
2024-05-29 10:01:08,67
2024-05-29 10:04:42,67
2024-05-29 10:12:07,67
2024-05-29 10:14:50,66.1548
2024-05-29 10:16:05,67
2024-05-29 10:23:22,67
2024-05-29 10:25:14,63
2024-05-29 10:32:55,64
2024-05-29 10:34:07,63
2024-05-29 10:41:15,66
2024-05-29 10:44:24,63
2024-05-29 10:49:16,63
2024-05-29 10:56:22,66
2024-05-29 10:59:53,68
2024-05-29 11:04:56,60
2024-05-29 11:11:17,59
2024-05-29 11:13:39,63
2024-05-29 11:18:40,61
2024-05-29 11:26:57,63
2024-05-29 11:29:08,62
2024-05-29 11:37:51,63
2024-05-29 11:43:30,59
2024-05-29 11:48:04,59
2024-05-29 11:52:44,61
2024-05-29 11:54:53,56
2024-05-29 12:00:05,61
2024-05-29 12:07:06,56
2024-05-29 12:14:37,81
2024-05-29 12:09:02,60
2024-05-29 12:18:33,57
2024-05-29 12:20:10,58
2024-05-29 12:27:23,55
2024-05-29 12:32:18,54
2024-05-29 12:35:06,54
2024-05-29 12:38:50,54
2024-05-29 12:43:41,56
2024-05-29 12:51:19,59
2024-05-29 12:55:58,61
2024-05-29 13:02:31,59
2024-05-29 13:06:34,73
2024-05-29 13:10:51,68
2024-05-29 13:04:07,59
2024-05-29 13:14:37,63
2024-05-29 13:20:49,58
2024-05-29 13:25:18,68
2024-05-29 13:32:20,67
2024-05-29 13:36:52,75
2024-05-29 13:33:41,69
2024-05-29 13:40:37,65
2024-05-29 13:52:08,64
2024-05-29 13:58:11,65
2024-05-29 13:59:27,66
2024-05-29 14:05:42,67
2024-05-29 14:10:38,68
2024-05-29 14:15:21,68
2024-05-29 14:19:26,71
2024-05-29 14:23:46,68
2024-05-29 14:28:37,70
2024-05-29 14:37:22,70
2024-05-29 14:41:48,68
2024-05-29 14:43:48,65
2024-05-29 14:52:27,68
2024-05-29 14:54:52,67
2024-05-29 15:02:36,67
2024-05-29 15:07:59,67
2024-05-29 15:13:20,67
2024-05-29 15:16:53,66
2024-05-29 15:19:18,68
2024-05-29 15:25:18,67
2024-05-29 15:31:48,68
2024-05-29 15:34:18,67
2024-05-29 15:41:32,64
2024-05-29 15:43:55,67
2024-05-29 15:53:02,67
2024-05-29 15:55:07,71
2024-05-29 16:01:33,65.5893
2024-05-29 16:01:29,67
2024-05-29 16:04:32,68
2024-05-29 16:08:37,67
2024-05-29 16:17:37,77
2024-05-29 16:19:35,85
2024-05-29 16:24:37,66
2024-05-29 16:31:45,66
2024-05-29 16:37:51,58
2024-05-29 20:31:17,88
2024-05-29 20:33:54,86
2024-05-29 20:28:12,80
2024-05-29 20:40:25,88
2024-05-29 20:53:22,90
2024-05-29 20:35:12,83
2024-05-29 20:56:57,74
2024-05-29 20:58:44,78
2024-05-29 21:31:26,91
2024-05-29 21:33:51,85
2024-05-29 21:35:48,90
2024-05-29 21:39:57,71.9421
2024-05-29 21:41:24,69
2024-05-29 21:41:40,73
2024-05-29 21:41:45,70
2024-05-29 21:41:50,69
2024-05-29 21:41:55,68
2024-05-29 21:42:00,68
2024-05-29 21:40:42,73
2024-05-29 21:45:55,78
2024-05-29 21:52:15,73
2024-05-29 21:56:50,72
2024-05-29 22:01:48,66
2024-05-30 06:40:52,67
2024-05-30 08:23:04,66
2024-05-30 08:25:33,63
2024-05-30 08:32:21,68
2024-05-30 08:32:13,66.6749
2024-05-30 08:29:11,67
2024-05-30 08:33:37,68
2024-05-30 08:39:55,64
2024-05-30 08:46:34,63
2024-05-30 08:52:27,63
2024-05-30 08:58:27,60
2024-05-30 09:02:27,61
2024-05-30 09:00:16,59
2024-05-30 09:04:07,59
2024-05-30 09:11:06,63
2024-05-30 09:13:36,63
2024-05-30 09:22:57,60
2024-05-30 09:32:28,63
2024-05-30 09:26:15,60
2024-05-30 09:29:31,60
2024-05-30 09:35:16,63
2024-05-30 09:38:39,63
2024-05-30 09:43:48,61
2024-05-30 09:48:39,61
2024-05-30 09:53:37,60
2024-05-30 09:58:57,60
2024-05-30 10:04:35,65
2024-05-30 10:17:18,85
2024-05-30 10:20:15,79
2024-05-30 10:14:22,67
2024-05-30 10:20:39,68
2024-05-30 10:28:01,72
2024-05-30 10:29:09,64
2024-05-30 10:34:39,68
2024-05-30 10:47:05,66
2024-05-30 10:54:44,78
2024-05-30 10:51:52,67
2024-05-30 10:57:09,82
2024-05-30 10:59:41,100
2024-05-30 10:55:50,71
2024-05-30 11:05:23,80
2024-05-30 11:01:48,68
2024-05-30 11:08:33,69
2024-05-30 11:12:17,84
2024-05-30 11:14:36,98
2024-05-30 11:17:01,85
2024-05-30 11:09:40,70
2024-05-30 11:19:58,78
2024-05-30 11:18:23,78
2024-05-30 11:23:28,66
2024-05-30 11:27:16,66
2024-05-30 11:33:02,67
2024-05-30 11:29:38,65
2024-05-30 11:35:19,64.999
2024-05-30 11:37:56,84
2024-05-30 11:40:28,71
2024-05-30 11:35:30,68
2024-05-30 11:40:52,61
2024-05-30 11:47:18,71
2024-05-30 11:44:47,61
2024-05-30 11:55:05,86
2024-05-30 11:52:24,69
2024-05-30 12:00:01,74
2024-05-30 12:02:33,69
2024-05-30 11:56:39,55
2024-05-30 12:06:58,62
2024-05-30 12:07:58,59
2024-05-30 12:11:57,57
2024-05-30 12:22:20,60
2024-05-30 12:28:10,59
2024-05-30 12:30:03,57
2024-05-30 12:37:12,56
2024-05-30 12:40:08,58
2024-05-30 12:46:12,56
2024-05-30 12:56:32,70
2024-05-30 12:52:40,56
2024-05-30 13:01:14,72
2024-05-30 12:58:14,71
2024-05-30 13:05:42,91
2024-05-30 13:03:27,64
2024-05-30 13:12:05,66
2024-05-30 13:15:35,60
2024-05-30 13:23:14,72
2024-05-30 13:19:03,72
2024-05-30 13:27:07,65
2024-05-30 13:31:15,71
2024-05-30 13:28:40,64
2024-05-30 13:38:31,56
2024-05-30 13:45:54,54
2024-05-30 13:40:23,56
2024-05-30 13:47:45,58
2024-05-30 13:49:47,55
2024-05-30 13:53:56,54
2024-05-30 14:00:54,58
2024-05-30 14:07:07,60
2024-05-30 14:13:06,60
2024-05-30 14:14:08,60.9377
2024-05-30 14:14:13,60
2024-05-30 14:19:17,65
2024-05-30 14:27:34,66
2024-05-30 14:28:48,65
2024-05-30 14:37:14,60
2024-05-30 14:41:27,62
2024-05-30 14:44:27,64
2024-05-30 14:50:08,67
2024-05-30 14:56:45,64
2024-05-30 14:58:41,64
2024-05-30 15:05:08,63
2024-05-30 15:11:30,79
2024-05-30 15:13:55,78
2024-05-30 15:16:34,71
2024-05-30 15:09:00,67
2024-05-30 15:17:24,65
2024-05-30 15:22:26,67
2024-05-30 15:26:49,68
2024-05-30 15:29:24,76
2024-05-30 15:32:00,77
2024-05-30 15:24:06,65
2024-05-30 15:33:13,60
2024-05-30 15:37:07,63
2024-05-30 15:40:45,62
2024-05-30 15:46:40,66
2024-05-30 15:48:24,63
2024-05-30 15:51:31,64
2024-05-30 15:59:31,82
2024-05-30 15:54:09,63
2024-05-30 16:01:47,64
2024-05-30 16:03:48,69
2024-05-30 16:11:58,63
2024-05-30 16:15:46,68
2024-05-30 16:26:35,64
2024-05-30 16:29:40,66
2024-05-30 16:35:01,67
2024-05-30 16:42:39,62
2024-05-30 16:45:46,64
2024-05-30 16:56:23,62
2024-05-30 16:58:37,63
2024-05-30 17:07:51,62
2024-05-30 17:13:29,61
2024-05-30 17:15:11,59
2024-05-30 17:22:01,59
2024-05-30 17:25:30,55
2024-05-30 17:25:26,57
2024-05-30 17:31:17,63
2024-05-30 17:33:42,63
2024-05-30 17:40:56,60
2024-05-30 17:47:30,63
2024-05-30 17:49:25,59
2024-05-30 17:56:53,63
2024-05-30 18:00:21,62
2024-05-30 18:06:11,64
2024-05-30 18:10:51,62
2024-05-30 18:18:29,59
2024-05-30 18:20:32,58
2024-05-30 18:25:00,60
2024-05-30 18:35:22,58.6775
2024-05-30 18:34:53,59
2024-05-30 18:39:17,58
2024-05-30 18:48:28,58
2024-05-30 18:57:58,59
2024-05-30 19:01:30,69
2024-05-30 19:05:19,64
2024-05-30 19:11:48,54
2024-05-30 19:15:37,54
2024-05-30 19:22:10,56
2024-05-30 19:24:34,55
2024-05-30 19:28:49,56
2024-05-30 19:41:40,57
2024-05-30 19:43:43,56
2024-05-30 19:49:07,55
2024-05-30 19:54:25,55
2024-05-30 20:02:28,58
2024-05-30 20:06:50,57
2024-05-30 20:11:15,59
2024-05-30 20:17:27,61
2024-05-30 20:20:50,58
2024-05-30 20:24:59,57
2024-05-30 20:28:57,58
2024-05-30 20:36:56,60
2024-05-30 20:41:08,55
2024-05-30 20:44:29,56
2024-05-30 20:51:59,64
2024-05-30 20:54:13,59
2024-05-30 21:02:36,59
2024-05-30 21:05:27,62
2024-05-30 21:10:52,58
2024-05-30 21:16:42,60
2024-05-30 21:21:18,62
2024-05-30 21:26:18,60
2024-05-30 21:28:53,61
2024-05-30 21:36:56,61
2024-05-30 21:40:12,62
2024-05-30 21:43:53,58
2024-05-30 21:49:58,59
2024-05-30 21:54:56,61
2024-05-30 22:00:59,58
2024-05-31 22:53:15,68
2024-05-31 22:57:09,69
2024-05-31 23:02:23,67
2024-05-31 23:07:09,63
2024-06-01 03:13:15,56
2024-06-01 03:14:23,64.5075
2024-06-01 03:17:26,77
2024-06-01 03:14:28,58
